zipcode,ZipState,PctUrban,TotPop10,MedianAge,pctBlackAlone,pctAsianAlone,pctHispanicAlone,MedianHHInc,college_plus,unempRate,HHSize,weight
60706,Illinois,100,23134,45.5,0.3,5,6.8,49933,20.6,4.6,2.49,1.20941708
60707,Illinois,100,42920,38.2,6.4,3.1,30.5,56403,25.5,7.8,2.73,1.296740453
60712,Illinois,100,12590,47.2,1.6,29.9,6.9,91250,49.3,3.1,3,1.070499867
60714,Illinois,100,29931,48.5,1.1,18.7,9.5,45464,27.8,4.2,2.52,1.235574133
60803,Illinois,100,22285,35.3,13.3,2.3,20.8,52027,16,9.1,2.62,1.263627873
60804,Illinois,100,84573,28,3.4,0.3,86.5,45656,7.5,9.1,3.89,2.044063509
60805,Illinois,100,19852,37.5,20.9,1.3,11.7,65980,30.9,8.1,2.82,1.279496618
60827,Illinois,100,27946,31.5,90.4,0,4.7,36739,12.4,14.7,2.79,2.168204365
60901,Illinois,87.6,37157,35,29.5,0.1,14.5,39537,13.9,9.2,2.68,1.478425744
60911,Illinois,0,1372,38,1.2,0,1.1,61250,15.2,6.2,2.92,0.7873512
60912,Illinois,0,599,32.1,22,0.3,3.1,38594,12,16.7,2.74,0.715986744
60913,Illinois,0,1617,51.2,0,0,5.3,68929,16.7,3.2,2.43,0.811560319
60914,Illinois,92.8,29107,34,10,3.3,6,61957,26.2,5.9,2.72,1.180806424
60915,Illinois,100,10774,35.1,0.8,0.6,4,46039,11.8,7,2.47,1.126905617
60917,Illinois,0,574,33.3,0,0,0,73636,9.7,10.7,3.26,0.649842091
60918,Illinois,0,898,45.1,0,0,7.3,53125,9.2,7.4,2.39,0.748861613
60919,Illinois,0,558,39.5,0,0,0,38333,9.4,3.6,2.35,0.894110899
60921,Illinois,0,1519,40.3,0,1,3.8,37059,10.8,7.7,2.48,0.804535006
60922,Illinois,1.9,2459,42.9,3.7,0.4,2.1,49650,16.3,6.2,2.67,0.835304243
60924,Illinois,0,1635,46.3,0.6,0,2.3,61250,13.9,3.5,2.42,0.816704662
60927,Illinois,0,2404,37.1,0,0.2,0,62155,12.6,4.6,2.73,0.797610157
60928,Illinois,0,709,44.6,0,1.3,1.2,47841,19.5,3.6,2.32,0.835930235
60929,Illinois,0,730,38.7,3.7,0,1.6,50000,17.7,10.8,2.44,0.667203029
60930,Illinois,0,918,49.9,0,0.7,5.6,41531,6.1,7.1,2.11,0.766270458
60931,Illinois,0,615,33.2,1.8,0,9.6,49375,13.3,2.6,2.53,0.949237349
60934,Illinois,0,273,38.4,0,0,0,41154,6.7,5.8,2.18,0.784909924
60935,Illinois,0,1064,36.4,0,0,3,74762,11.7,5.9,3.15,0.778941849
60936,Illinois,83.7,4321,44.1,0,0.3,0,44865,23.1,5,2.23,1.071726786
60938,Illinois,80.9,2131,40.1,0.3,0.3,19.7,42852,8.6,8.4,2.5,1.121659178
60940,Illinois,0,3369,40.7,0.2,0.2,4.6,66696,14.1,8.7,2.82,0.700313264
60941,Illinois,0,2039,39.7,0,0.5,1.9,70750,17.5,3.5,2.75,0.811315123
60942,Illinois,82.8,6181,42.2,0.1,0,12.8,38224,13.3,7.3,2.47,1.157433509
60946,Illinois,0,426,48.4,0,0,1.9,52361,11.1,8.2,2.09,0.671082869
60948,Illinois,21.7,1533,44.2,0.1,0,3,67276,31.7,2,2.74,0.939871187
60949,Illinois,0,636,42.3,0.8,0,2.4,32875,4.3,10.1,2.32,0.747281914
60950,Illinois,86.3,12168,38.4,2.9,0.4,6.1,65075,20,3.6,2.55,1.154797315
60951,Illinois,0,961,42.8,0,0.7,0.6,61528,11.9,6.3,2.46,0.725516077
60952,Illinois,0,684,38.2,1.7,0,7.3,42885,11.6,6.8,2.56,0.840004393
60953,Illinois,0,2469,46.2,0,0.1,3.1,52941,16.9,2.5,2.33,0.86497552
60954,Illinois,61.9,6104,43.1,2.5,0.2,15.6,48827,9.6,6.6,2.58,1.093375621
60955,Illinois,67.6,1901,38.6,1.1,0,32,45964,15.4,5.6,2.61,1.271087675
60957,Illinois,81.6,5615,42.6,1,0.1,3.8,50434,16.4,4.3,2.46,1.141493307
60958,Illinois,0,2135,41.4,86.2,0,0.5,23910,6.6,17,2.47,1.405646958
60959,Illinois,0,1082,48.1,0,0,3.1,41141,9.2,7,2.59,0.823123263
60960,Illinois,0,1064,37,1.4,0,1.1,46827,8.8,8.6,2.66,0.750487545
60961,Illinois,0,700,45.4,0,0,0,62019,13.6,4.2,2.64,0.805274627
60962,Illinois,0,524,43,0,0,0.7,52885,13,11.4,2.45,0.623981153
60963,Illinois,0,1807,40.1,0,0,0.3,46150,13.8,6.9,2.57,0.776973919
60964,Illinois,10.9,4968,42.2,8.1,0.7,8.4,54779,13.1,8.1,2.58,0.835171572
60966,Illinois,0,1526,43.9,1.4,0.4,4.1,45227,12.9,7.1,2.39,0.782217437
60968,Illinois,0,433,54.9,0,0,3.9,59875,27.7,6.4,2.07,0.689863714
60970,Illinois,70.3,7190,45.5,0.5,1.3,2.1,39213,12.6,5.6,2.21,1.056815879
60973,Illinois,0,385,37.3,0,0,5.4,44722,7.9,6.6,2.26,0.777396797
61001,Illinois,0,1179,55.7,0,0,0.2,49464,21.9,5.8,2.22,0.752669536
61006,Illinois,0,1759,46.1,0.1,0,2.2,55574,11.7,1.4,2.37,0.896854017
61007,Illinois,0,534,49.5,0,0,0,66250,13.6,11.4,2.4,0.582847064
61008,Illinois,89.5,34311,35.7,1.8,1.4,25.6,59471,19,7.9,2.99,1.19465685
61010,Illinois,72.2,8032,36.3,1.9,0,1.7,69398,26.8,4,2.95,1.078929306
61011,Illinois,37.6,2945,50.4,0,0.4,5.1,102553,30.2,7.1,2.62,0.732981304
61012,Illinois,0,2175,36.5,0,0.7,19.3,60476,17.5,10.1,2.97,0.749101362
61014,Illinois,0,1173,47.6,0,0.1,3.2,58182,15.3,0.8,2.45,0.920107412
61015,Illinois,0,946,50.7,0,0,0.6,61354,11.1,5.2,2.38,0.75384049
61016,Illinois,83.2,4837,42.9,2.9,2.3,5.1,72093,31.1,6.2,2.49,0.979699056
61018,Illinois,0,1080,36.6,0,1.3,0.3,60069,10.5,11.1,3.03,0.657163204
61019,Illinois,0,3550,50.3,0,0.2,3.1,65743,25.3,4,2.58,0.798940933
61020,Illinois,82.7,3108,34.8,0,0.9,16.3,66300,17.3,11.6,3.05,0.927632516
61021,Illinois,71,23745,41.9,6.4,0.9,5.7,47598,16,6.2,2.36,1.082619366
61024,Illinois,0,2620,42.5,0.8,0.4,1.1,60714,20.5,6.9,2.56,0.725110512
61025,Illinois,62.7,4867,44.2,0.7,0.9,1.1,55631,16,4,2.45,1.027699624
61028,Illinois,0,1989,43.9,0,0,2,50457,22.1,2.3,2.49,0.894871126
61030,Illinois,0,2205,40.4,0,0.1,4.2,49505,14.5,10.7,2.7,0.688712408
61031,Illinois,0,1656,40,0.6,0,0.8,60903,9.8,5.9,2.93,0.798558342
61032,Illinois,82.1,31651,43.6,12.9,1,3.3,41213,19.1,8.4,2.33,1.123101823
61036,Illinois,46.4,6821,51.8,0.8,0.6,7,58994,31.7,2.7,2.24,0.990911063
61038,Illinois,0,1354,42.5,0,0,26.7,52734,11.4,7.5,2.84,0.890502066
61039,Illinois,0,802,35.8,0,4.1,0.7,59044,12.2,4.9,3.01,0.824067699
61041,Illinois,0,1327,52.5,0.5,0,1.7,53387,26.8,4.2,2.08,0.767662969
61042,Illinois,0,527,38.7,0,0,5.2,46250,6.9,6,2.49,0.820062205
61044,Illinois,0,232,48.2,0,0,0,65673,14.7,0,2.19,0.862878755
61046,Illinois,0,2831,51,0,0.2,1,54432,17.7,2.8,2.25,0.829390783
61047,Illinois,0,1711,51.4,0,0,1.1,53404,13.4,5.2,2.19,0.757861993
61048,Illinois,59.7,4360,45.9,0,0.3,0,47335,16.6,3.9,2.37,1.041078038
61049,Illinois,0,585,44.5,0,1.5,4.9,59000,14.1,2.7,2.79,0.902509433
61050,Illinois,0,376,41.8,0,0,0,46442,0,11,2.48,0.664294551
61051,Illinois,0,1574,41,0,0.7,3.2,50563,12,8.3,2.38,0.709448174
61052,Illinois,0,1148,39.9,0,0.1,1.3,62609,17,10.8,2.48,0.610559565
61053,Illinois,0,2852,44.1,0.6,0.2,1.5,45861,19.6,4,2.35,0.845692764
61054,Illinois,87,3973,46.5,0.2,0.2,6.1,38409,18.7,10.5,2.24,0.962257099
61060,Illinois,0,1432,39.3,0,0,1.2,53352,10,2.5,2.54,0.884613019
61061,Illinois,54.4,7009,48.6,1.1,1.3,0.4,53479,20.3,6,2.23,0.898194732
61062,Illinois,0,1983,41.4,0,0,5.5,52833,18.7,4.9,2.43,0.810645258
61063,Illinois,0,4132,41.3,0,0,1.8,55357,18.6,4.1,2.65,0.836177979
61064,Illinois,0,3868,42.9,0.5,0,4.8,53266,14.6,7.1,2.42,0.747924723
61065,Illinois,89.2,11156,37,4.9,1.2,8.6,65972,17.1,7.7,3.09,1.110961534
61067,Illinois,0,811,44.5,0,0,10.1,40045,21.5,14.6,2.41,0.620639479
